RK,TEAM,TOTAL DVOA,LAST Week,WEI. DVOA,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE RANK,DEF. RANK,S.T. RANK,S.T. RANK
,WEIGHT,,,1.5,,,1,,1,,0.5,
1,SF,36.80%,1,36.10%,1,8-0,5.50%,12,-31.40%,2,-0.10%,18
2,NE,36.00%,2,34.70%,2,8-1,2.10%,14,-33.90%,1,0.00%,17
3,KC,29.70%,3,29.50%,3,6-3,23.60%,2,-4.20%,11,2.00%,8
4,DAL,26.00%,4,25.90%,4,5-3,26.70%,1,-0.80%,17,-1.60%,25
5,NO,22.20%,7,22.50%,5,7-1,13.10%,8,-8.50%,6,0.60%,14
6,MIN,21.50%,5,21.50%,6,6-3,13.50%,7,-7.70%,7,0.30%,15
7,BAL,19.90%,8,18.40%,7,6-2,16.60%,4,0.70%,21,4.00%,3
8,GB,13.70%,6,14.20%,8,7-2,14.50%,6,0.40%,20,-0.40%,20
9,SEA,10.10%,9,10.70%,9,7-2,20.90%,3,7.40%,27,-3.50%,29
10,HOU,9.90%,13,9.80%,11,6-3,6.20%,11,-1.50%,14,2.20%,7
11,LAR,9.40%,10,10.00%,10,5-3,0.50%,18,-8.80%,4,0.10%,16
12,IND,5.50%,16,6.50%,12,5-3,6.90%,10,-0.50%,18,-1.90%,26
13,PHI,5.20%,12,5.40%,13,5-4,0.90%,17,-4.80%,10,-0.60%,21
14,JAX,3.70%,11,3.80%,14,4-5,1.00%,15,-1.80%,13,0.90%,11
15,OAK,3.20%,17,2.20%,16,4-4,16.20%,5,14.40%,29,1.50%,9
16,CAR,2.00%,15,2.30%,15,5-3,-4.50%,21,-5.70%,9,0.80%,12
17,DET,1.50%,14,1.70%,17,3-4-1,4.00%,13,5.60%,24,3.10%,6
18,TB,-0.80%,18,-0.90%,18,2-6,-2.40%,20,-0.90%,16,0.70%,13
19,LAC,-1.00%,22,-1.00%,19,4-5,7.20%,9,7.30%,26,-0.90%,22
20,CHI,-3.30%,19,-4.20%,21,3-5,-14.60%,27,-6.90%,8,4.40%,2
21,PIT,-5.10%,20,-3.70%,20,4-4,-15.10%,28,-8.80%,5,1.20%,10
22,DEN,-5.30%,21,-4.40%,22,3-6,-9.40%,23,-8.80%,3,-4.80%,31
23,TEN,-8.60%,24,-10.20%,23,4-5,-8.90%,22,-4.00%,12,-3.70%,30
24,CLE,-12.10%,23,-11.00%,24,2-6,-11.90%,25,3.70%,22,3.60%,4
25,BUF,-12.60%,25,-12.00%,25,6-2,-12.50%,26,-1.40%,15,-1.40%,24
26,ARI,-16.20%,27,-15.60%,26,3-5-1,0.90%,16,13.90%,28,-3.20%,28
27,NYG,-19.60%,26,-19.10%,27,2-7,-11.80%,24,6.50%,25,-1.30%,23
28,ATL,-21.90%,28,-21.30%,28,1-7,-0.10%,19,16.00%,30,-5.80%,32
29,WAS,-29.20%,29,-30.30%,29,1-8,-24.90%,30,4.00%,23,-0.40%,19
30,CIN,-38.70%,31,-39.20%,30,0-8,-23.40%,29,19.80%,31,4.50%,1
31,NYJ,-40.90%,30,-41.80%,31,1-7,-44.60%,32,-0.40%,19,3.40%,5
32,MIA,-60.20%,32,-58.60%,32,1-7,-26.80%,31,31.00%,32,-2.30%,27
